Entry_Number,Description,Classification,Weight_g,Store_Location,Page
Entry-282-104,"• THC Cartridges - 981.2 Grams • THC Oil - 28 Grams • Pre-Rolled Cannabis - 2,066.5 Grams • Pre-Packaged Cannabis - 3,294.75 Grams • THCGummies - 912.13 Grams",Concentrate,981.2,,282
Entry-282-105,"• THC Oil - 28 Grams • Pre-Rolled Cannabis - 2,066.5 Grams • Pre-Packaged Cannabis - 3,294.75 Grams • THCGummies - 912.13 Grams • Suspected Psilocybin Edibles/Gummies - 460 Grams",Concentrate,28.0,,282
Entry-282-106,• THC Cartridges-767 Grams • THCOil - 56Grams • Pre-RolledCannabis - 373.5 Grams • Pre-PackagedCannabis - 613.5 Grams • THCGummies - 345.9Grams,Concentrate,767.0,,282
Entry-282-107,• THCOil - 56Grams • Pre-RolledCannabis - 373.5 Grams • Pre-PackagedCannabis - 613.5 Grams • THCGummies - 345.9Grams • Suspected Psilocybin Edibles/Gummies - 23.8 Grams,Concentrate,56.0,,282
Entry-282-108,"• THC Cartridges - 7,985.4Grams • THC Oil - 374Grams • Pre-RolledCannabis - 3,566.95 Grams • Pre-Packaged Cannabis - 2,128.3 Grams • Loose BulkCannabis -3,057 Grams",Concentrate,985.4,,282
Entry-282-109,"• THC Oil - 374Grams • Pre-RolledCannabis - 3,566.95 Grams • Pre-Packaged Cannabis - 2,128.3 Grams • Loose BulkCannabis -3,057 Grams • THC Edibles/Gummies - 6,348.4 Grams",Concentrate,374.0,,282
Entry-282-110,"• Pre-RolledCannabis - 3,566.95 Grams • Pre-Packaged Cannabis - 2,128.3 Grams • Loose BulkCannabis -3,057 Grams • THC Edibles/Gummies - 6,348.4 Grams • Suspected PsilocybinEdibles/Gummies- 1,453.68 Grams",Edible,566.95,,282
Entry-282-111,"Detective Armiger knows that Maryland is a total THC state, where some states throughout the United",Likely Cannabis,,,282
Entry-282-112,Cannabis sample's total THC must not exceed 0.3% on a dry weight basis. 202500044777 Page4of6 282,Likely Cannabis,,,282
Entry-283-113,"an undercover capacity to conduct undercover purchases ofCannabis from each location. These purchases were then transported to theATCC, where they were field tested by Agent Mangold Utilizing the Light Lab 3 Analyzer. As aresult ofthe field testing, Cannabis from each store tested higherthan the0.3%",Likely Cannabis,,tested higherthan the0,283
Entry-283-114,"As aresult ofthe field testing, Cannabis from each store tested higherthan the0.3% permittable by Maryland State Law. As an example, several ofthe purchases made from the stores were tested prior to obtaining and executing the search and seizure warrants in this investigation. A sampling ofthose pur",Likely Cannabis,,tested higherthan the0,283
Entry-283-116,03/18/25 Tobacco Town 3.5 Grams Cannabis 10.7% Total THC 03/18/25 Convenience City Inc. 17.5 Grams Cannabis 18.5% Total THC 04/03/25 Smoke Star lnc. 7 Grams Cannabis 22.7% Total THC 04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7%Total THC Pre-Rolled Cannabis,Preroll,3.5,,283
Entry-283-117,03/18/25 Convenience City Inc. 17.5 Grams Cannabis 18.5% Total THC 04/03/25 Smoke Star lnc. 7 Grams Cannabis 22.7% Total THC 04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7%Total THC Pre-Rolled Cannabis Cigarettes,Preroll,17.5,,283
Entry-283-118,04/03/25 Smoke Star lnc. 7 Grams Cannabis 22.7% Total THC 04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7%Total THC Pre-Rolled Cannabis Cigarettes,Preroll,7.0,,283
Entry-283-119,04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7%Total THC Pre-Rolled Cannabis Cigarettes,Preroll,3.5,,283
Entry-283-120,Pre-Rolled Cannabis Cigarettes,Preroll,,,283
Entry-283-121,Cigarettes,Preroll,,,283
Entry-283-122,"gradeCannabis. DetectiveArmigerfurtherconsulted withAgentMangoldoftheATCCwhoadvisedthattheabove mentioned store fronts were not licenseddispensaries, there forwould only be permittedto sell hemp-derived CBD and Delta-8 THC products, as well as Hemp derived products that contain less than 0.3% Delta-",Likely Cannabis,,fronts were not licenseddispen,283
Entry-283-123,"mentioned store fronts were not licenseddispensaries, there forwould only be permittedto sell hemp-derived CBD and Delta-8 THC products, as well as Hemp derived products that contain less than 0.3% Delta-9 THC",Likely Cannabis,,fronts were not licenseddispen,283
Entry-283-124,"and Delta-8 THC products, as well as Hemp derived products that contain less than 0.3% Delta-9 THC",Likely Cannabis,,,283
Entry-283-125,"Cannabis products that were consistent withthe tested Cannabis from the initial purchases. lt should also be noted that upon scanning some of the QR codes on the pre-rolled Cannabis cigarettes, they would direct the person scanning to a third-party tests' results page, which advertised a higher tota",Preroll,,s,283
Entry-283-126,"that upon scanning some of the QR codes on the pre-rolled Cannabis cigarettes, they would direct the person scanning to a third-party tests' results page, which advertised a higher total THC content. This information was readilyavailable to theBabar's as they purchased inventory fortheirstores, know",Preroll,,s,283
s,as examples ofthe total THC ofthe purchases and pretested items. Date Store Purchase Test% 03/18/25 Tobacco Town 3.5 Grams Cannabis 10.7% Total THC 03/18/25 Convenience City Inc. 17.5 Grams Cannabis 18.5% Total THC 04/03/25 Smoke Star lnc. 7 Grams Cannabis 22.7% Total THC,Likely Cannabis,3.5,Purchase Test,283
Entry-287-127,"SinceFebruary 202S,youraffia11tbegan investigatingthedistributionofCannabisby Zaheer Bahar, Rn Asian male, having a date of birth of January Ist, 1973, and bis wife, AmandeepBahar, anAsian female,havinga dateofbirth ofJuly31'1, 1984, utilizingseveral",Likely Cannabis,,,287
Entry-287-128,"products, Cannabldiol (CBD) or hemp derived products, andothertobacco neceasities. The store fronts being utilized to conduct thedistribution activitiesareas follows: l. AlllnOneFood Mart, 15WestBel AirAve,Aberdeen, Maryland 21001 287",Likely Cannabis,,fronts being utilized to condu,287
EV-25,1 Three Pre-Rolled Cigarette Containing Suspected Cannabis EV-25-1244,Preroll,,,335
EV-25,"2 Multi-Color ""Curevana"" Container Containing Suspected Cannabis EV-25-1243",Likely Cannabis,,,335
Entry-336-132,"Cannabisthatwaspurchased fromAll In OneFoodMartonTuesday,March 18th,2025, tested forTetrahydrocannabinol (THC)content. DetectiveArmigermet with AgentMangold, whowouldconduct thetest. Thecannabiswastestedutilizingthe LíghtLab3 CannabisAnalyzer. As aresultofthetest,thepurchased Cannabistested atatotal",Likely Cannabis,,,336
Entry-336-133,"(THC)content. DetectiveArmigermet with AgentMangold, whowouldconduct thetest. Thecannabiswastestedutilizingthe LíghtLab3 CannabisAnalyzer. As aresultofthetest,thepurchased Cannabistested atatotal THC level of1.5%THC. DetectiveP. Armiger #160 Corporal Wolfe#592 SergeantDeVeau#497 Page1",Likely Cannabis,,,336
Entry-336-134,"DetectiveArmigermet with AgentMangold, whowouldconduct thetest. Thecannabiswastestedutilizingthe LíghtLab3 CannabisAnalyzer. As aresultofthetest,thepurchased Cannabistested atatotal THC level of1.5%THC. DetectiveP. Armiger #160 Corporal Wolfe#592 SergeantDeVeau#497 Page1 336",Likely Cannabis,,,336
Entry-336-135,"LíghtLab3 CannabisAnalyzer. As aresultofthetest,thepurchased Cannabistested atatotal THC level of1.5%THC. DetectiveP. Armiger #160 Corporal Wolfe#592 SergeantDeVeau#497 Page1 336",Likely Cannabis,,,336
at 1215,"Tobacco, and Cannabis Commission, located at 1215 EastFortAvenue#300, Baltimore, MD21230, inorderto havethe Cannabisthatwaspurchased fromAll In OneFoodMartonTuesday,March 18th,2025, tested forTetrahydrocannabinol (THC)content. DetectiveArmigermet with AgentMangold, whowouldconduct thetest. Thecannab",Likely Cannabis,,,336
Entry-343-136,"1 White Ziploc StyleBag containing suspected Cannabis labeled ""AK-47SourGarlic Cookie"" 2 Chocolate Bar labeled ""Silly Farms Magic Mushroom Chocolate 7 Grams""",Edible,7.0,,343
Entry-343-137,"2 Chocolate Bar labeled ""Silly Farms Magic Mushroom Chocolate 7 Grams""",Edible,7.0,,343
Entry-346-138,"Afterthe sale, Detective Scroggins returnedto his covertvehicleand eventuallytransportedthe Cannabis totheHarfordCounty DrugTaskForceOfficeforprocessing. Nothing furtherto reportatthis time. Corporal0easel#984 SergeantSives#835",Likely Cannabis,,,346
Entry-348-139,2499.4gofGummies (228 Units) 307.Sg ofPre-rolled Cannabis (195 Units) 603.Sg ofPrepackaged Cannabis (158 Units) 709.Sg ofJarred Cannabis(14 Units) 847.54gofTHC Edibles (286 Units),Edible,,,348
Entry-348-140,307.Sg ofPre-rolled Cannabis (195 Units) 603.Sg ofPrepackaged Cannabis (158 Units) 709.Sg ofJarred Cannabis(14 Units) 847.54gofTHC Edibles (286 Units) 2691.SgofVacuum Sealed BagsofCannabis (6 Units),Edible,,,348
Entry-348-141,"603.Sg ofPrepackaged Cannabis (158 Units) 709.Sg ofJarred Cannabis(14 Units) 847.54gofTHC Edibles (286 Units) 2691.SgofVacuum Sealed BagsofCannabis (6 Units) $78,792.00of USD",Edible,,,348
Entry-348-142,"709.Sg ofJarred Cannabis(14 Units) 847.54gofTHC Edibles (286 Units) 2691.SgofVacuum Sealed BagsofCannabis (6 Units) $78,792.00of USD -=r,,,,./-14( J?ll'tt:)l.,,",Edible,,,348
Entry-348-143,"847.54gofTHC Edibles (286 Units) 2691.SgofVacuum Sealed BagsofCannabis (6 Units) $78,792.00of USD -=r,,,,./-14( J?ll'tt:)l.,, On May 29th, 2025, at approximately 1211 hours,Detective Scroggins #1257 and members ofthe",Edible,,,348
Entry-348-144,"2691.SgofVacuum Sealed BagsofCannabis (6 Units) $78,792.00of USD -=r,,,,./-14( J?ll'tt:)l.,, On May 29th, 2025, at approximately 1211 hours,Detective Scroggins #1257 and members ofthe AberdeenPolice Department enteredthe establishment known as the ""All In One Food Mart"" to serve asearch",Likely Cannabis,,,348
Entry-349-146,"Behindthe front counter, Detectives located largeamounts ofcannabis ontheflooralongwith a digital",Likely Cannabis,,,349
s,"Detectives began asystematic search ofthe store's cabinets for items containing THC content, and items advertised as those that produce psychedelic effects. Behindthe front counter, Detectives located largeamounts ofcannabis ontheflooralongwith a digital",Likely Cannabis,,,349
Entry-350-147,"Detectives also located in adisplay case markedas""Case l"", numerous ediblescontaining suspected psylocibin, aschedule 1 controlleddangeroussubstance, andglassjars containingcannabis. Detective Scroggins",Edible,,,350
Entry-350-148,"psylocibin, aschedule 1 controlleddangeroussubstance, andglassjars containingcannabis. Detective Scroggins",Likely Cannabis,,,350
s,ofpsychedelic gummies. Detective Scroggins seized items from this case as Item #4. Page3 350,Edible,,,350
Entry-351-150,"Detectives located onthe lowershelfofthepedestal, containers containing cannabisresidue. Detective",Likely Cannabis,,,351
s,prepackaged cannabis as well as psychedelic candies. Detective Scroggins seizedthis items as Item #7. Page 4 351,Likely Cannabis,,,351
Entry-356-152,where they located morepsychedelic gummiesontheback wall ofthe,Edible,,,356
Entry-357-153,1 One heat sealed bag containing aziplockbag containingone edible Mushroom gummie. 2 Oneheatsealedbagc-ontainingaziplockbagcontainingthreeprerolledcigars containingaleaftgreensubstance. 3 Oneheatsealed bag containingaziplock bag containing one edibleTHC gummie. 4 Oneheat sealed bag containingaziploc,Edible,,,357
Entry-357-154,2 Oneheatsealedbagc-ontainingaziplockbagcontainingthreeprerolledcigars containingaleaftgreensubstance. 3 Oneheatsealed bag containingaziplock bag containing one edibleTHC gummie. 4 Oneheat sealed bag containingaziplock bag containing a leafy green substance. 5 One heat sealed bag containing aziplock,Edible,,,357
Entry-357-155,3 Oneheatsealed bag containingaziplock bag containing one edibleTHC gummie. 4 Oneheat sealed bag containingaziplock bag containing a leafy green substance. 5 One heat sealed bag containing aziplock bag containing a greenziplock bag contaínnig a sample ofa leafy green substance. 6 One heat sealed bag,Edible,,,357
Entry-367-157,"Behind thefrontcounter, Detectives located largeamounts ofcannabis on the flooralong with adigital",Likely Cannabis,,,367
s,"Detectives begana systematic search ofthe store's cabinets for items containingTHC content, and items advertised asthosethatproducepsychedelic effects. Behind thefrontcounter, Detectives located largeamounts ofcannabis on the flooralong with adigital",Likely Cannabis,,,367
Entry-368-158,"Detectives also located in adisplay case marked as ""Case l"", numerous edibles containing suspected psylocibin, a schedule 1 controlled dangerous substance, and glassjars containing cannabis. Detective Scroggins",Edible,,,368
Entry-368-159,"psylocibin, a schedule 1 controlled dangerous substance, and glassjars containing cannabis. Detective Scroggins",Likely Cannabis,,,368
5,"multiplepackages ofpsychedelic gummies. Detective Scroggins seized this bag as Item #5. Detectives located on the lowershelfofthepedestal, containers containing cannabis residue. Detective",Edible,,,369
Entry-369-162,"Detectives located on the lowershelfofthepedestal, containers containing cannabis residue. Detective",Likely Cannabis,,,369
Entry-384-164,1 One heat sealed bag containing aziplock bag containing oneedible Mushroom gummie. 2 Oneheatsealedbagcontaining aziplockbagcontainingthreeprerolled cigarscontainingaleaf!greensubstance. 3 One heat sealed bag containing aziplock bag containing oneedibleTHC gummie. 4 One heat sealed bag containing az,Edible,,,384
Entry-384-165,2 Oneheatsealedbagcontaining aziplockbagcontainingthreeprerolled cigarscontainingaleaf!greensubstance. 3 One heat sealed bag containing aziplock bag containing oneedibleTHC gummie. 4 One heat sealed bag containing aziplockbag containing a leafygreen substance. 5 One heat sealed bag containing aziplo,Edible,,,384
Entry-384-166,3 One heat sealed bag containing aziplock bag containing oneedibleTHC gummie. 4 One heat sealed bag containing aziplockbag containing a leafygreen substance. 5 One heat sealed bag containing aziplock bag containing agreen ziplock bagcontainnig a sample of a leafy green substance. 6 One heat sealed b,Edible,,,384
EV-25,"1 Multi-Color ""Curevana"" Container Containing Suspected Cannabis EV-25-1241",Likely Cannabis,,,390
Entry-391-169,"Cannabisthatwaspurchased fromBest in ChoiceGroceryInc., onTuesday,March181\2025, testedfor Tetrahydrocannabinol(THC) content. Page1 391",Likely Cannabis,,,391
Entry-391-170,Tetrahydrocannabinol(THC) content. Page1 391,Likely Cannabis,,,391
at 1215,"Tobacco, andCannabisCommission, located at 1215 EastFortAvenue#300,Baltimore,MD 21230, inorderto havethe Cannabisthatwaspurchased fromBest in ChoiceGroceryInc., onTuesday,March181\2025, testedfor Tetrahydrocannabinol(THC) content. Page1 391",Likely Cannabis,,,391
EV-25,1 Three Pre-Rolled Suspected Cannabis Cigarettes EV-25-2827,Preroll,,,400
EV-25,2 Polka Dot Brand Mushroom Chocolate Bar Containing Suspected Psilocybin EV-25-2828,Edible,,,400
Entry-401-173,"Drug Investigation - UC Buy - Three (3)Pre-Rolled Best Choice Grocery Inc. Tobacco Shop Cannabis Joints, Psilocybín Edible - 4 grams - $79.00 Type ofReport: (Initial, Supplement, Final) Address: 866 Ostego Street,Havre De Grace, Supplement Maryland, 21078",Edible,4.0,,401
Entry-401-174,"Cannabis Joints, Psilocybín Edible - 4 grams - $79.00 Type ofReport: (Initial, Supplement, Final) Address: 866 Ostego Street,Havre De Grace, Supplement Maryland, 21078 Assignment:",Edible,4.0,,401
Entry-401-175,"Harford and Cecil County, Maryland selling unregulated marijuana. Further investigation was requested resulting in Detective Armiger ofthe Harford County Sheriff's Office Drug Task Force to begin a controlled dangerous substance (hereinafter CDS). Through investigation it was learned these businesse",Likely Cannabis,,,401
Entry-401-176,"Maryland, 21078 in hopes ofpurchasing marijuana and psylocibin (shrooms) from the business. Detective Testerman was working in an undercovercapacity and thepassengerofthe·covert vehicle, which was parked in the lot ofthe shoppingplaza. Assisting Detective Testerman with this controlled purchase was ",Likely Cannabis,,vehicle,401
Entry-401-177,was the second controlled purchase ofmarijuana and psilocybin (shrooms) from this location. 202500044777 Page 1 of3 401,Likely Cannabis,,,401
Entry-404-178,"1 Ono(1)yellowplasticpre-rolltubelabeled""1Vunch1esJellyHoleMangoTango·containing aJointwithgreena",Preroll,,,404
Entry-404-179,"2 One(1)yelllowplasticpre-roll tubelabeled""MunchiesJellyHolePinapptePoundcake"" containingajointwthgreena",Preroll,,,404
Entry-404-180,"3 One (1) black/green plastic pre-roll tube labeled ""Yoda OG"" containing ajoint withgroen aleafy substanceofsuspected Cannabis,ascheduleIcontrolled dangeroussubstance. ?5.f-1' 4 One(1)greengraphiclabeled""PolkaOot, mushroommagicblendbelgiandarkchocolatemauicoconut twist""",Edible,,,404
Entry-404-181,"withgroen aleafy substanceofsuspected Cannabis,ascheduleIcontrolled dangeroussubstance. ?5.f-1' 4 One(1)greengraphiclabeled""PolkaOot, mushroommagicblendbelgiandarkchocolatemauicoconut twist""",Edible,,,404
Entry-404-182,"4 One(1)greengraphiclabeled""PolkaOot, mushroommagicblendbelgiandarkchocolatemauicoconut twist""",Edible,,,404
s,1 Box ofTHCitems Behind Counter S1230 Det. Smith Page 1 Case Number: 2025-121190 408,Likely Cannabis,,,408
Entry-409-191,"$30,382.50. Totals forthe THC products wereas follows: • 2066.5 grams ofPre-rolled/ flowercannabis • 861.37 grams ofedibleTHC products • 1104gramsofpsylocibinmushrooms • 44 grams of waxTHCproducts",Concentrate,2066.5,,409
Entry-409-192,• 2066.5 grams ofPre-rolled/ flowercannabis • 861.37 grams ofedibleTHC products • 1104gramsofpsylocibinmushrooms • 44 grams of waxTHCproducts • 105.2 gramsofcartridges containingTHC,Concentrate,2066.5,,409
Entry-409-193,• 861.37 grams ofedibleTHC products • 1104gramsofpsylocibinmushrooms • 44 grams of waxTHCproducts • 105.2 gramsofcartridges containingTHC • 50.76 grams ofeditbale THC products,Concentrate,861.37,,409
Entry-409-194,• 44 grams of waxTHCproducts • 105.2 gramsofcartridges containingTHC • 50.76 grams ofeditbale THC products • 3294.75 grams offlower cannabis • 876 grams ofTHC,Concentrate,44.0,,409
Entry-409-195,• 105.2 gramsofcartridges containingTHC • 50.76 grams ofeditbale THC products • 3294.75 grams offlower cannabis • 876 grams ofTHC Page2 CaseNumber: 2025-121190,Cartridge,50.76,,409
Entry-409-196,• 50.76 grams ofeditbale THC products • 3294.75 grams offlower cannabis • 876 grams ofTHC Page2 CaseNumber: 2025-121190 409,Likely Cannabis,50.76,,409
Entry-409-197,• 3294.75 grams offlower cannabis • 876 grams ofTHC Page2 CaseNumber: 2025-121190 409,Likely Cannabis,3294.75,,409
Entry-409-198,• 876 grams ofTHC Page2 CaseNumber: 2025-121190 409,Likely Cannabis,876.0,,409
HSl-7507,11 VariousTHC Products Case#1 HSl-7507 Det.Smith,Likely Cannabis,,,409
S1117,Marijuana S1117,Likely Cannabis,,,409
S1211,9 Various Cannabis Products Shelfbehind counter S1211 Det.Smith,Likely Cannabis,,,409
S645,16 THC Products Case#5 S645 Det. Smith,Likely Cannabis,,,409
S842,10 2 boxesofTHC products Case#2 S842 Det. Smith,Likely Cannabis,,,409
s,5 Case#3 Items -THC ln case 3 S1230/S1211 Det. Smith,Likely Cannabis,,,409
sblue,4 BoxofTHC itemsblue packaging BehindCounter S1230 Det.Smith,Likely Cannabis,,,409
Entry-411-201,"4 1 Bagof variouswaxtypeTHC $200.00 E ?m, O Yes D Yes o No o No ApproximateWeight=28G 5 1 VariouscartridgescontainingTHC $200.00 E",Concentrate,28.0,,411
Entry-411-202,5 1 VariouscartridgescontainingTHC $200.00 E - ·J..--?:J. D Yes D Yes o No o No ApproximateWeight= 105.2G,Cartridge,105.2,,411
sofsuspectedcannabis,"1 1 Variousitemsofsuspectedcannabis/prerolledcannabiscigarettes $200.00 E 0 Yes 0 Yes ., - +'.-r - 1':::. - S O No o No ApproximateWeight=2066.5G",Preroll,2066.5,msofsuspectedcannabis,411
sofsuspectedcannabis,2 1 Variousitemsofsuspectedcannabiseditables $200.00 E 0 Yes O Yes '..l..?? o No o No ApproximateWeight=861.37G 3 1 BagcontainingvariousPsilocybineditables $200.00 E,Likely Cannabis,861.37,msofsuspectedcannabiseditables,411
sofsuspectedcannabis,6 1 Variousitemsofsuspectedcannabiseditables $200.00 E 'Oiif?? D Yes D Yes ONo O No ApproximateWeight=50.76G,Likely Cannabis,50.76,msofsuspectedcannabiseditables,411
sofsuspectedcannabis,7 1 !Variousitemsofsuspectedcannabis $200.00 E ?.J.. ?y O Yes O Yes ONo ONo ApproximateWeight=3294.75G . •CompleteCommentSectionofReverseSide S0-2580,Likely Cannabis,3294.75,msofsuspectedcannabis,411
Entry-417-205,"1 Bag containing 3 prerolled cigarettes suspected Cannabis ;:).':}·??? 2 Bag containing suspected THC gummies 3 bag containing package of suspected Psilocybin gummies f_) -'.'J?? '9', 4 bag containing suspectedwax type THC '.J.'.-i--'w, ':}lt;",Concentrate,,,417
Entry-417-206,"2 Bag containing suspected THC gummies 3 bag containing package of suspected Psilocybin gummies f_) -'.'J?? '9', 4 bag containing suspectedwax type THC '.J.'.-i--'w, ':}lt; 5 bag containing suspected cannabis ?'""' '-'"" q,:x 1 IQ)J I",Concentrate,,,417
Entry-417-207,"3 bag containing package of suspected Psilocybin gummies f_) -'.'J?? '9', 4 bag containing suspectedwax type THC '.J.'.-i--'w, ':}lt; 5 bag containing suspected cannabis ?'""' '-'"" q,:x 1 IQ)J I",Concentrate,,,417
Entry-417-208,"4 bag containing suspectedwax type THC '.J.'.-i--'w, ':}lt; 5 bag containing suspected cannabis ?'""' '-'"" q,:x 1 IQ)J I",Concentrate,,,417
Entry-417-209,"5 bag containing suspected cannabis ?'""' '-'"" q,:x 1 IQ)J I",Likely Cannabis,,,417
s,1 I BoxofTHC items I Behind Counter I S1230 I Det. Smith Page 1 Case Number: 2025-121190 425,Likely Cannabis,,,425
Entry-426-218,"$30,382.50. Totals forthe THC products were as follows: • 2066.5 grams ofPre-rolled/flowercannabis • 861.37 grams ofedible THC products • 1104 grams ofpsylocibinmushrooms • 44 grams of waxTHC products",Concentrate,2066.5,,426
Entry-426-219,• 2066.5 grams ofPre-rolled/flowercannabis • 861.37 grams ofedible THC products • 1104 grams ofpsylocibinmushrooms • 44 grams of waxTHC products,Concentrate,2066.5,,426
Entry-426-220,• 861.37 grams ofedible THC products • 1104 grams ofpsylocibinmushrooms • 44 grams of waxTHC products,Concentrate,861.37,,426
Entry-426-221,• 44 grams of waxTHC products,Concentrate,44.0,,426
Entry-426-223,• 50.76 grams ofeditbale THC products • 3294.75 grams offlowercannabis • 876 grams ofTHC Page 2 Case Number: 2025-121190 426,Likely Cannabis,50.76,,426
Entry-426-224,• 3294.75 grams offlowercannabis • 876 grams ofTHC Page 2 Case Number: 2025-121190 426,Likely Cannabis,3294.75,,426
Entry-426-225,• 876 grams ofTHC Page 2 Case Number: 2025-121190 426,Likely Cannabis,876.0,,426
S1211,9 VariousCannabis Products Shelfbehind counter S1211 Det. Smith,Likely Cannabis,,,426
S645,16 THC Products Case#5 S645 Det.Smith,Likely Cannabis,,,426
S842,10 2 boxesofTHC products Case#2 S842 Det.Smith,Likely Cannabis,,,426
l05,• l05.2 grams ofcartridges containing THC • 50.76 grams ofeditbale THC products • 3294.75 grams offlowercannabis • 876 grams ofTHC Page 2 Case Number: 2025-121190,Cartridge,2.0,,426
s-THC,5 Case#3 Items-THC ln case 3 S1230/S1211 Det. Smith,Likely Cannabis,,,426
sblue,4 BoxofTHC itemsblue packaging Behind Counter S1230 Det. Smith,Likely Cannabis,,,426
Inventory,"Detective Smithcompleted the Search WarrantEvidence Inventory Return Form, the Search Warrant inventory ReportandReturnform, andthe Seized Property form. These forms were electronically senttothe HonorableJudge Alex Allman forsignature. Copies ofthe Search Warrant, signed Search Warrant inventory",Likely Cannabis,,,427
EV-25,2 ContainerContaining Cannabis Flower Labeled Just Dancing EV-25-1245,Flower,,,448
Entry-449-230,"Cannabisthatwas purchased from ConvenienceCity, onTuesday, March 18th, 2025, testedforTetrahydrocannabinol (THC)content. DetectiveArmigermetwith AgentMangold, who wouldconduct thetest. Thecannabi s testedutilizingthe",Likely Cannabis,,,449
Entry-449-231,"(THC)content. DetectiveArmigermetwith AgentMangold, who wouldconduct thetest. Thecannabi s testedutilizingthe",Likely Cannabis,,,449
of18,"LightLab3 CannabisAnalyzer. Asa result ofthetest, the purchased Cannabistestedat atot.a HC evel of18.5%THC, which is higherthanthe limitwhichis allowablebyMarylandstatelaw.Pleases?1ed esults fi rspecificdetails. î.t,,-- ?¿ç¡Sffet.::c *""tGv ___;;:e)??- ??",Likely Cannabis,,,449
Entry-454-234,"On May 2l5t, 2025, Detective Armiger coordinated an undercover buy of Cannabis from Convenience City Inc. utilizing Detective Phipps in an undercover capacity. Once at Convenience City, Inc., Det. Phipps entered thestore, where he purchased one ""STIIZY"" jar containing three pre-rolled cannabiscigare",Preroll,,and leftthe area,454
Entry-454-235,"containing three pre-rolled cannabiscigarettes, two ""ZOUR STASH"" pre-rolled cannabiscigarettes, and one ""MUFFINS"" pre-rolled cannabis cigarette. Detective Phippsthen exited the store and leftthe area. Det. Phipps then tookthe Suspected Cannabis backtothe Harford County DrugTask Force Office,where it",Preroll,,and leftthe area,454
Entry-454-236,"""MUFFINS"" pre-rolled cannabis cigarette. Detective Phippsthen exited the store and leftthe area. Det. Phipps then tookthe Suspected Cannabis backtothe Harford County DrugTask Force Office,where it was packaged and secured in the Special Investigations Division Property Room. This investigation is ma",Preroll,,and leftthe area,454
Entry-454-237,"Det. Phipps then tookthe Suspected Cannabis backtothe Harford County DrugTask Force Office,where it was packaged and secured in the Special Investigations Division Property Room. This investigation is marked open and active. DetectiveArmiger#160 Corporal R. Wolfe#592 Sergeant C. Deveau #497",Likely Cannabis,,,454
MD 21921,"Supplement/6 Pre-Rolled CannabisCigarettes 243 South Bridge St., Elkton, MD 21921 On May 2l5t, 2025, Detective Armiger coordinated an undercover buy of Cannabis from Convenience City Inc. utilizing Detective Phipps in an undercover capacity. Once at Convenience City, Inc., Det. Phipps entered thesto",Preroll,,,454
EV-25,"2 Two ""ZourStash"" Pre-RolledCigarettes Containing Suspected Cannabis EV-25-2447",Preroll,,,455
EV-25,"3 One ""Muffins"" Pre-Rolled Cannabis CigaretteContainingSuspected Cannabis EV-25-2448",Preroll,,,455
Entry-455-238,"1 One""STIIZY""JarContainingThreePre-Rolled CigarettesContainingSuspected CannabisEV-25-2446",Preroll,,,455
Entry-456-241,"grams), Psilocybin Chocolate Edible, Psilocybin L\ ft. < gumrnies and Fizzy Peach Infused Delta-9-TlIC",Edible,,,456
Entry-456-242,gumrnies and Fizzy Peach Infused Delta-9-TlIC,Edible,,,456
Entry-456-243,"Harford and Cecil County, Maryland selling unregulated cannabis. Further investigation was requested resulting in Detective Armigerofthe Harford County Sheriff's Office DrugTask Force to begin a controlled dangerous substance (hereinafter CDS). Through investigation it was learned these businesses w",Likely Cannabis,,,456
Entry-456-244,"purchasingcannabis and psylocibin (shrooms) from the business. DetectiveTesterman was working in an undercover capacity and the passenger ofthe covert vehicle, which was parked in the lot ofthe shopping plaza. AssistingDetective Testerman with this controlled purchase was Sergent Sives, who remained",Likely Cannabis,,vehicle,456
Entry-459-245,CDS Property Sheetwith Fizzy PeachBlissInfused Seltzer Drink Consensual Monitoring AuthorizationForm Photographs ofCDS Copy ofthehand-to-handdrugtransactionwithUM #1 202500044777 Page4of4,Edible,,,459
Entry-460-246,"3 One (1)yellowziploc baggie labeled ""Polaroid X Devour Cosmic Citrus"" gummies ?'\",Edible,,,460
Entry-460-247,"4 One(1)pink/blue""Ointstone""graphicboxlabeled""PolkaDot, mushroommagicblendbelgian chocolateFruityPebbles""",Edible,,,460
Entry-461-248,"One(I) FizzyBlissInfused Seltzer30mgDelta-9 E O Yes O Yes :: T : H ? C v- 1 :; 2 . 0 _ 2 ) C _ a ? n œi).?¥;Ji:/: ::::::::::::::::::::::::::::::: ?No ? ""\Jo ApproximateWeight= I __ ----+----+-----+--",Edible,,,461
Entry-477-249,"""DisplayCasewith Cannabis* *DisplayCase withTHC CartsIPsílocybin* *Wall DisplayPsilocybinGummies* Investigators observed variousTHCIPsilocybin products displayedthroughoutthe storeforpatrons ofthe establishment forsale. As investigators examined each item, they observed various levels ofTHC percenta",Cartridge,3.5,forpatrons ofthe establishment,477
